Year,Race,Pos,No,Driver,Car,Laps,Time/Retired,PTS,Country,Circuit,Type,Direction,Location,Last length used,Turns,Grands Prix,Grands Prix held
2000,48,NC,1,Mika Hakkinen HAK,McLaren Mercedes,30.0,DNF,0.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,5.031 km (3.126 mi),11,Brazilian Grand Prix,10
2000,48,NC,1,Mika Hakkinen HAK,McLaren Mercedes,30.0,DNF,0.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,4.309 km (2.677 mi),15,"Brazilian Grand Prix,São Paulo Grand Prix",40
2000,48,NC,4,Rubens Barrichello BAR,Ferrari,27.0,DNF,0.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,5.031 km (3.126 mi),11,Brazilian Grand Prix,10
2000,48,NC,4,Rubens Barrichello BAR,Ferrari,27.0,DNF,0.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,4.309 km (2.677 mi),15,"Brazilian Grand Prix,São Paulo Grand Prix",40
2000,48,NC,7,Eddie Irvine IRV,Jaguar Cosworth,20.0,DNF,0.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,5.031 km (3.126 mi),11,Brazilian Grand Prix,10
2000,48,NC,7,Eddie Irvine IRV,Jaguar Cosworth,20.0,DNF,0.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,4.309 km (2.677 mi),15,"Brazilian Grand Prix,São Paulo Grand Prix",40
2000,48,NC,22,Jacques Villeneuve VIL,BAR Honda,16.0,DNF,0.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,5.031 km (3.126 mi),11,Brazilian Grand Prix,10
2000,48,NC,22,Jacques Villeneuve VIL,BAR Honda,16.0,DNF,0.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,4.309 km (2.677 mi),15,"Brazilian Grand Prix,São Paulo Grand Prix",40
2000,48,NC,14,Jean Alesi ALE,Prost Peugeot,11.0,DNF,0.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,5.031 km (3.126 mi),11,Brazilian Grand Prix,10
2000,48,NC,14,Jean Alesi ALE,Prost Peugeot,11.0,DNF,0.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,4.309 km (2.677 mi),15,"Brazilian Grand Prix,São Paulo Grand Prix",40
2000,48,NC,15,Nick Heidfeld HEI,Prost Peugeot,9.0,DNF,0.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,5.031 km (3.126 mi),11,Brazilian Grand Prix,10
2000,48,NC,15,Nick Heidfeld HEI,Prost Peugeot,9.0,DNF,0.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,4.309 km (2.677 mi),15,"Brazilian Grand Prix,São Paulo Grand Prix",40
2000,48,NC,12,Alexander Wurz WUR,Benetton Playlife,6.0,DNF,0.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,5.031 km (3.126 mi),11,Brazilian Grand Prix,10
2000,48,NC,12,Alexander Wurz WUR,Benetton Playlife,6.0,DNF,0.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,4.309 km (2.677 mi),15,"Brazilian Grand Prix,São Paulo Grand Prix",40
2000,51,1,1,Mika Hakkinen HAK,McLaren Mercedes,65.0,1:33:55.390,10.0,Spain,Circuit de Barcelona-Catalunya *,Race circuit,Clockwise,Montmeló,4.657 km (2.894 mi),14,Spanish Grand Prix,34
