Year,Race,Pos,No,Driver,Car,Laps,PTS,Country,Circuit,Type,Direction,Location,Turns,Grands Prix,Grands Prix held,Last length used (m),Time_in_Seconds,TOTALAVGSpeed (m/s),Average Speed per Lap (m/s),Average Time per Lap (sec),Total Distance of Lap (meters)
2000,47,6,23,Ricardo Zonta ZON,BAR Honda,58.0,1.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,16,Australian Grand Prix,11,3780.0,5688.455,38.541220770841996,0.6645038063938276,98.07681034482758,219240.0
2000,47,6,23,Ricardo Zonta ZON,BAR Honda,58.0,1.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,16,Australian Grand Prix,27,5278.0,5688.455,53.814963817064566,0.9278442037424925,98.07681034482758,306124.0
2000,47,7,12,Alexander Wurz WUR,Benetton Playlife,58.0,0.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,16,Australian Grand Prix,11,3780.0,5688.902,38.53819243150963,0.6644515936467177,98.08451724137932,219240.0
2000,47,7,12,Alexander Wurz WUR,Benetton Playlife,58.0,0.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,16,Australian Grand Prix,27,5278.0,5688.902,53.81073535807085,0.9277712992770837,98.08451724137932,306124.0
2000,47,8,20,Marc Gene GEN,Minardi Fondmetal,57.0,0.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,16,Australian Grand Prix,11,3780.0,5739.262637931035,37.541407946033964,0.6586211920356836,100.68881820931641,215460.0
2000,47,8,20,Marc Gene GEN,Minardi Fondmetal,57.0,0.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,16,Australian Grand Prix,27,5278.0,5739.262637931035,52.41892887279557,0.9196303311016767,100.68881820931641,300846.0
2000,47,9,15,Nick Heidfeld HEI,Prost Peugeot,56.0,0.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,16,Australian Grand Prix,11,3780.0,5836.538275862069,36.26807364143164,0.6476441721684222,104.22389778325123,211680.0
2000,47,9,15,Nick Heidfeld HEI,Prost Peugeot,56.0,0.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,16,Australian Grand Prix,27,5278.0,5836.538275862069,50.64097689933233,0.9043031589166487,104.22389778325123,295568.0
2000,48,1,3,Michael Schumacher MSC,Ferrari,71.0,10.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,11,Brazilian Grand Prix,10,5031.0,5495.271,65.00152585741449,0.9155144486959788,77.39818309859155,357201.0
2000,48,1,3,Michael Schumacher MSC,Ferrari,71.0,10.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,15,"Brazilian Grand Prix,São Paulo Grand Prix",40,4309.0,5495.271,55.67314150657902,0.7841287536137891,77.39818309859155,305939.0
2000,48,2,11,Giancarlo Fisichella FIS,Benetton Playlife,71.0,6.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,11,Brazilian Grand Prix,10,5031.0,5535.169,64.53298896564857,0.9089153375443461,77.96012676056338,357201.0
2000,48,2,11,Giancarlo Fisichella FIS,Benetton Playlife,71.0,6.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,15,"Brazilian Grand Prix,São Paulo Grand Prix",40,4309.0,5535.169,55.27184445497509,0.7784766824644379,77.96012676056338,305939.0
2000,48,3,5,Heinz-Harald Frentzen FRE,Jordan Mugen Honda,71.0,4.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,11,Brazilian Grand Prix,10,5031.0,5537.539,64.50536962358188,0.9085263327265054,77.99350704225351,357201.0
2000,48,3,5,Heinz-Harald Frentzen FRE,Jordan Mugen Honda,71.0,4.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,15,"Brazilian Grand Prix,São Paulo Grand Prix",40,4309.0,5537.539,55.2481887712213,0.7781435038200183,77.99350704225351,305939.0
2000,48,4,6,Jarno Trulli TRU,Jordan Mugen Honda,71.0,3.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,11,Brazilian Grand Prix,10,5031.0,5568.0509999999995,64.15189085013769,0.9035477584526436,78.42325352112675,357201.0
2000,48,4,6,Jarno Trulli TRU,Jordan Mugen Honda,71.0,3.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,15,"Brazilian Grand Prix,São Paulo Grand Prix",40,4309.0,5568.0509999999995,54.94543782016365,0.7738794059177978,78.42325352112675,305939.0
